World Id,Report Id,Date,Time,Attacker,Att. Level,Att. Participants,Att. Army Size,Att. Kills,Att. Losses,Att. Damaged,Att. Survived,Defender,Def. Level,Def. Participants,Def. Army Size,Def. Kills,Def. Losses,Def. Damaged,Def. Survived
54,503647,15/05/2019,18:47,[InE]alextheking,8,1,6360,1379,3819,0,2541,[lgf]Player130817,8,1,13136,3819,0,1379,11757
54,505514,15/05/2019,21:10,[lgf]Player130817,8,1,13395,1825,609,0,12786,[InE]alextheking,8,1,3036,609,0,1825,1211
54,505536,15/05/2019,21:12,[lgf]Player130817,8,1,12786,829,209,0,12577,[InE]alextheking,8,1,1211,209,0,729,482
54,505581,15/05/2019,21:16,[lgf]Player130817,8,1,12577,486,78,0,12499,Player22235,5,1,806,78,0,486,320
54,505619,15/05/2019,21:18,[lgf]Player130817,8,1,12499,0,0,0,12499,[??]Vickyboy,9,1,0,0,0,0,0
54,505742,15/05/2019,21:30,[lgf]Player130817,8,1,12499,2666,714,0,11785,[SE]A.Saaretalu,7,1,4435,714,0,2666,1769
54,512768,16/05/2019,08:34,[lgf]Player130817,8,1,12845,116,39,0,12806,[InE]alextheking,9,1,190,39,0,116,74
54,515368,16/05/2019,12:24,[lgf]Player130817,8,1,13046,49,15,0,13031,[InE]alextheking,9,1,74,15,0,49,25
54,516407,16/05/2019,13:36,[lgf]Player130817,8,1,13281,0,0,0,13281,[??]Vickyboy,9,1,0,0,0,0,0
54,517136,16/05/2019,14:30,[lgf]Player130817,8,1,13781,0,0,0,13781,bzhiiik,10,1,0,0,0,0,0
54,524109,16/05/2019,22:52,[lgf]Player130817,8,1,14400,18,3,0,14397,[InE]alextheking,9,1,25,3,0,18,7
54,524628,16/05/2019,23:37,[lgf]Player130817,8,1,14400,0,0,0,14400,[ORP]KoBA,10,1,0,0,0,0,0
54,524706,16/05/2019,23:42,[lgf]Player130817,8,1,14400,0,0,0,14400,[??]Vickyboy,9,1,0,0,0,0,0
54,529293,17/05/2019,07:42,[lgf]Player130817,8,1,14400,6,1,0,14399,[InE]alextheking,9,1,7,1,0,6,1
54,529359,17/05/2019,07:49,[lgf]Player130817,8,1,2618,98,21,0,2597,Player22235,5,1,159,21,0,98,61
54,529674,17/05/2019,08:29,Player afrid,5,1,251,18,152,0,99,[lgf]Player130817,8,1,10898,152,0,18,10880
54,531853,17/05/2019,11:58,[lgf]Player130817,8,1,14400,1,0,0,14400,[InE]alextheking,9,1,1,0,0,1,0
54,540948,17/05/2019,23:54,[lgf]Player130817,9,1,14321,2394,881,0,13440,[InE]alextheking,9,1,3982,881,0,2394,1588
54,550680,18/05/2019,14:31,[SPN]Vladimir,11,1,6518,3158,3916,0,2602,[lgf]Player130817,9,1,17016,3916,0,3158,13858
54,569413,19/05/2019,11:28,[lgf]Player130817,9,1,14650,2603,685,0,13965,[InE]alextheking,9,1,4331,685,0,2603,1728
54,569587,19/05/2019,11:39,[lgf]Player130817,9,1,14650,0,0,0,14650,bzhiiik,10,1,0,0,0,0,0
54,569638,19/05/2019,11:43,[lgf]Player130817,9,1,14650,0,0,0,14650,[ORP]KoBA,10,1,0,0,0,0,0
54,570036,19/05/2019,12:05,[lgf]Player130817,9,1,14650,0,0,0,14650,[SPN]Vladimir,11,1,0,0,0,0,0
54,570060,19/05/2019,12:06,[SPN]Vladimir,11,1,4903,2150,360,0,4543,[lgf]Player130817,9,1,3580,360,0,2150,1430
